r/σ;g(r)
0.215;0.000
0.225;0.000
0.235;0.000
0.245;0.000
0.255;0.000
0.265;0.000
0.275;0.000
0.285;0.000
0.295;0.000
0.305;0.000
0.315;0.000
0.325;0.000
0.335;0.000
0.345;0.000
0.355;0.000
0.365;0.000
0.375;0.000
0.385;0.000
0.395;0.000
0.405;0.000
0.415;0.000
0.425;0.000
0.435;0.000
0.445;0.000
0.455;0.000
0.465;0.000
0.475;0.000
0.485;0.000
0.495;0.000
0.505;0.000
0.515;0.000
0.525;0.000
0.535;0.000
0.545;0.000
0.555;0.000
0.565;0.000
0.575;0.000
0.585;0.000
0.595;0.000
0.605;0.000
0.615;0.000
0.625;0.000
0.635;0.000
0.645;0.000
0.655;0.000
0.665;0.000
0.675;0.000
0.685;0.000
0.695;0.000
0.705;0.000
0.715;0.000
0.725;0.000
0.735;0.000
0.745;0.000
0.755;0.000
0.765;0.000
0.775;0.000
0.785;0.000
0.795;0.000
0.805;0.000
0.815;0.000
0.825;0.000
0.835;0.000
0.845;0.000
0.855;0.000
0.865;0.000
0.875;0.000
0.885;0.000
0.895;0.000
0.905;0.001
0.915;0.005
0.925;0.016
0.935;0.041
0.945;0.092
0.955;0.183
0.965;0.325
0.975;0.523
0.985;0.767
0.995;1.048
1.005;1.354
1.015;1.658
1.025;1.951
1.035;2.200
1.045;2.418
1.055;2.583
1.065;2.692
1.075;2.757
1.085;2.783
1.095;2.774
1.105;2.736
1.115;2.670
1.125;2.588
1.135;2.497
1.145;2.394
1.155;2.289
1.165;2.181
1.175;2.077
1.185;1.975
1.195;1.875
1.205;1.775
1.215;1.685
1.225;1.598
1.235;1.518
1.245;1.443
1.255;1.378
1.265;1.308
1.275;1.247
1.285;1.189
1.295;1.140
1.305;1.088
1.315;1.042
1.325;1.003
1.335;0.963
1.345;0.929
1.355;0.898
1.365;0.867
1.375;0.839
1.385;0.816
1.395;0.793
1.405;0.773
1.415;0.753
1.425;0.738
1.435;0.718
1.445;0.706
1.455;0.694
1.465;0.682
1.475;0.675
1.485;0.665
1.495;0.658
1.505;0.649
1.515;0.645
1.525;0.640
1.535;0.635
1.545;0.633
1.555;0.632
1.565;0.632
1.575;0.634
1.585;0.633
1.595;0.636
1.605;0.637
1.615;0.642
1.625;0.649
1.635;0.653
1.645;0.662
1.655;0.669
1.665;0.677
1.675;0.685
1.685;0.697
1.695;0.709
1.705;0.722
1.715;0.733
1.725;0.746
1.735;0.764
1.745;0.778
1.755;0.794
1.765;0.812
1.775;0.828
1.785;0.847
1.795;0.863
1.805;0.884
1.815;0.904
1.825;0.922
1.835;0.939
1.845;0.960
1.855;0.979
1.865;0.993
1.875;1.014
1.885;1.031
