POINT;NB PAS; TEMPS (s);<dX2)> (cm2);<dY2)> (cm2);<dZ2)> (cm2)
1;20;0.20000000E-12;0.67542646E-17;0.67381064E-17;0.67469678E-17
2;40;0.40000000E-12;0.19590410E-16;0.19549416E-16;0.19568512E-16
3;60;0.60000000E-12;0.32024572E-16;0.31951855E-16;0.31984988E-16
4;80;0.80000000E-12;0.43789130E-16;0.43644741E-16;0.43724147E-16
5;100;0.10000000E-11;0.55248271E-16;0.54974894E-16;0.55144156E-16
6;120;0.12000000E-11;0.66472142E-16;0.66024831E-16;0.66303679E-16
7;140;0.14000000E-11;0.77555384E-16;0.76914134E-16;0.77299898E-16
8;160;0.16000000E-11;0.88560896E-16;0.87726502E-16;0.88214181E-16
9;180;0.18000000E-11;0.99513525E-16;0.98507928E-16;0.99095591E-16
10;200;0.20000000E-11;0.11043591E-15;0.10927624E-15;0.10995583E-15
11;220;0.22000000E-11;0.12134838E-15;0.12004195E-15;0.12080445E-15
12;240;0.24000000E-11;0.13225736E-15;0.13082216E-15;0.13165361E-15
13;260;0.26000000E-11;0.14317555E-15;0.14162499E-15;0.14252228E-15
14;280;0.28000000E-11;0.15411934E-15;0.15244971E-15;0.15341984E-15
15;300;0.30000000E-11;0.16508861E-15;0.16329075E-15;0.16433035E-15
16;320;0.32000000E-11;0.17608498E-15;0.17415244E-15;0.17525142E-15
17;340;0.34000000E-11;0.18710779E-15;0.18503775E-15;0.18619766E-15
18;360;0.36000000E-11;0.19814573E-15;0.19592869E-15;0.19715755E-15
19;380;0.38000000E-11;0.20919484E-15;0.20681042E-15;0.20812797E-15
20;400;0.40000000E-11;0.22026041E-15;0.21770399E-15;0.21911517E-15
21;420;0.42000000E-11;0.23135009E-15;0.22861695E-15;0.23010704E-15
22;440;0.44000000E-11;0.24244726E-15;0.23953254E-15;0.24110205E-15
23;460;0.46000000E-11;0.25354273E-15;0.25044451E-15;0.25211546E-15
24;480;0.48000000E-11;0.26465016E-15;0.26135945E-15;0.26314593E-15
25;500;0.50000000E-11;0.27576698E-15;0.27228637E-15;0.27418543E-15
26;520;0.52000000E-11;0.28688746E-15;0.28322232E-15;0.28524312E-15
27;540;0.54000000E-11;0.29800847E-15;0.29416058E-15;0.29631974E-15
28;560;0.56000000E-11;0.30912224E-15;0.30509136E-15;0.30740347E-15
29;580;0.58000000E-11;0.32023249E-15;0.31602784E-15;0.31850606E-15
30;600;0.60000000E-11;0.33134057E-15;0.32697561E-15;0.32963511E-15
31;620;0.62000000E-11;0.34245590E-15;0.33792464E-15;0.34076912E-15
32;640;0.64000000E-11;0.35360321E-15;0.34886918E-15;0.35188664E-15
33;660;0.66000000E-11;0.36478665E-15;0.35980595E-15;0.36299746E-15
34;680;0.68000000E-11;0.37598488E-15;0.37074248E-15;0.37411063E-15
35;700;0.70000000E-11;0.38717433E-15;0.38168814E-15;0.38522105E-15
36;720;0.72000000E-11;0.39835425E-15;0.39264209E-15;0.39632228E-15
37;740;0.74000000E-11;0.40953704E-15;0.40360428E-15;0.40740370E-15
38;760;0.76000000E-11;0.42073126E-15;0.41458362E-15;0.41846510E-15
39;780;0.78000000E-11;0.43192725E-15;0.42558091E-15;0.42950939E-15
40;800;0.80000000E-11;0.44311049E-15;0.43657736E-15;0.44053624E-15
41;820;0.82000000E-11;0.45428367E-15;0.44755502E-15;0.45156489E-15
42;840;0.84000000E-11;0.46546520E-15;0.45851497E-15;0.46260956E-15
43;860;0.86000000E-11;0.47665834E-15;0.46947632E-15;0.47367649E-15
44;880;0.88000000E-11;0.48784721E-15;0.48044827E-15;0.48475903E-15
45;900;0.90000000E-11;0.49902715E-15;0.49141540E-15;0.49582390E-15
46;920;0.92000000E-11;0.51021604E-15;0.50237771E-15;0.50684786E-15
47;940;0.94000000E-11;0.52142157E-15;0.51333917E-15;0.51784598E-15
48;960;0.96000000E-11;0.53264906E-15;0.52430166E-15;0.52882603E-15
49;980;0.98000000E-11;0.54389041E-15;0.53526727E-15;0.53978406E-15
50;1000;0.10000000E-10;0.55513908E-15;0.54623998E-15;0.55072495E-15
