POINT;NB PAS (H);TEMPS (s);<VVX)> ;<VVY)>;<VVZ)> 
0;0;0.00000000E+00;0.19779850E+09;0.19784905E+09;0.19768653E+09
1;1;0.10000000E-13;0.19727832E+09;0.19733116E+09;0.19716446E+09
2;2;0.20000000E-13;0.19572817E+09;0.19578544E+09;0.19560858E+09
3;3;0.30000000E-13;0.19317566E+09;0.19323938E+09;0.19304654E+09
4;4;0.40000000E-13;0.18966536E+09;0.18973740E+09;0.18952302E+09
5;5;0.50000000E-13;0.18525684E+09;0.18533891E+09;0.18509778E+09
6;6;0.60000000E-13;0.18002220E+09;0.18011582E+09;0.17984318E+09
7;7;0.70000000E-13;0.17404333E+09;0.17414988E+09;0.17384142E+09
8;8;0.80000000E-13;0.16740908E+09;0.16752981E+09;0.16718172E+09
9;9;0.90000000E-13;0.16021257E+09;0.16034866E+09;0.15995764E+09
10;10;0.10000000E-12;0.15254873E+09;0.15270125E+09;0.15226455E+09
11;11;0.11000000E-12;0.14451206E+09;0.14468208E+09;0.14419742E+09
12;12;0.12000000E-12;0.13619483E+09;0.13638343E+09;0.13584903E+09
13;13;0.13000000E-12;0.12768558E+09;0.12789387E+09;0.12730843E+09
14;14;0.14000000E-12;0.11906797E+09;0.11929710E+09;0.11865978E+09
15;15;0.15000000E-12;0.11041986E+09;0.11067108E+09;0.10998145E+09
16;16;0.16000000E-12;0.10181278E+09;0.10208741E+09;0.10134547E+09
17;17;0.17000000E-12;0.93311510E+08;0.93610953E+08;0.92817078E+08
18;18;0.18000000E-12;0.84973906E+08;0.85299639E+08;0.84454589E+08
19;19;0.19000000E-12;0.76850881E+08;0.77204433E+08;0.76309311E+08
20;20;0.20000000E-12;0.68986492E+08;0.69369421E+08;0.68425663E+08
21;21;0.21000000E-12;0.61418144E+08;0.61832008E+08;0.60841358E+08
22;22;0.22000000E-12;0.54176865E+08;0.54623190E+08;0.53587679E+08
23;23;0.23000000E-12;0.47287636E+08;0.47767887E+08;0.46689815E+08
24;24;0.24000000E-12;0.40769770E+08;0.41285327E+08;0.40167234E+08
25;25;0.25000000E-12;0.34637313E+08;0.35189444E+08;0.34034091E+08
26;26;0.26000000E-12;0.28899469E+08;0.29489310E+08;0.28299654E+08
27;27;0.27000000E-12;0.23561020E+08;0.24189561E+08;0.22968731E+08
28;28;0.28000000E-12;0.18622761E+08;0.19290831E+08;0.18042097E+08
29;29;0.29000000E-12;0.14081917E+08;0.14790178E+08;0.13516919E+08
30;30;0.30000000E-12;0.99325550E+07;0.10681492E+08;0.93871586E+07
31;31;0.31000000E-12;0.61659786E+07;0.69558993E+07;0.56439694E+07
32;32;0.32000000E-12;0.27711058E+07;0.36021340E+07;0.22760671E+07
33;33;0.33000000E-12;-0.26517678E+06;0.60689861E+06;-0.72991331E+06
34;34;0.34000000E-12;-0.29576808E+07;-0.20448013E+07;-0.33890819E+07
35;35;0.35000000E-12;-0.53226063E+07;-0.43693445E+07;-0.57179781E+07
